variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,911875363,pht_arf_c1,8.0,grid,0.01610305958132045,0.01610305958132045,8.6,8.6,616,5,611,0.008116883116883116,1.0,5,0.46890163211292457,0.4829977919210287,101
abrupt_balanced,1129302214,pht_arf_c1,8.0,grid,0.01594896331738437,0.01594896331738437,12.6,12.6,622,5,617,0.008038585209003215,1.0,5,0.48709748566387295,0.4809455773477075,106
abrupt_balanced,1206282609,pht_arf_c1,8.0,grid,0.016233766233766236,0.016233766233766236,12.2,12.2,611,5,606,0.008183306055646482,1.0,5,0.5051830613145126,0.4943499155734511,103
abrupt_balanced,1244265337,pht_arf_c1,8.0,grid,0.016474464579901153,0.016474464579901153,10.4,10.4,602,5,597,0.008305647840531562,1.0,5,0.4599691221879135,0.45392908169892193,107
abrupt_balanced,1258460216,pht_arf_c1,8.0,grid,0.016420361247947456,0.016420361247947456,8.8,8.8,604,5,599,0.008278145695364239,1.0,5,0.4844508160564623,0.4830497467203533,103
abrupt_balanced,1332204363,pht_arf_c1,8.0,grid,0.015552099533437013,0.015552099533437013,8.6,8.6,638,5,633,0.007836990595611285,1.0,5,0.4693427437141597,0.46486556695674763,106
abrupt_balanced,1337295874,pht_arf_c1,8.0,grid,0.01579778830963665,0.01579778830963665,19.4,19.4,628,5,623,0.007961783439490446,1.0,5,0.49735333039258933,0.49024548642680865,113
abrupt_balanced,1380564739,pht_arf_c1,8.0,grid,0.015847860538827255,0.015847860538827255,8.6,8.6,626,5,621,0.007987220447284345,1.0,5,0.47904719894133213,0.4708403688790752,108
abrupt_balanced,1395586264,pht_arf_c1,8.0,grid,0.015923566878980888,0.015923566878980888,8.8,8.8,623,5,618,0.008025682182985553,1.0,5,0.46294662549625054,0.47403558903753734,103
abrupt_balanced,1496786007,pht_arf_c1,8.0,grid,0.01597444089456869,0.01597444089456869,11.0,11.0,621,5,616,0.008051529790660225,1.0,5,0.47364358182620203,0.4696454084946097,111
abrupt_balanced,1658700540,pht_arf_c1,8.0,grid,0.01564945226917058,0.01564945226917058,9.4,9.4,634,5,629,0.007886435331230283,1.0,5,0.4809219232465814,0.4703987530848162,113
abrupt_balanced,1737489325,pht_arf_c1,8.0,grid,0.01564945226917058,0.01564945226917058,9.4,9.4,634,5,629,0.007886435331230283,1.0,5,0.47606969563299517,0.46470970255877386,116
abrupt_balanced,1870843651,pht_arf_c1,8.0,grid,0.015552099533437013,0.015552099533437013,13.8,13.8,638,5,633,0.007836990595611285,1.0,5,0.489082487869431,0.4843745941031303,110
abrupt_balanced,1944468667,pht_arf_c1,8.0,grid,0.015923566878980888,0.015923566878980888,11.8,11.8,623,5,618,0.008025682182985553,1.0,5,0.4797088663431848,0.47432134043382257,105
abrupt_balanced,76953952,pht_arf_c1,15.0,grid,0.03278688524590164,0.03278688524590164,39.0,39.0,300,5,295,0.016666666666666666,1.0,5,0.40130127922364356,0.399558384205741,56
abrupt_balanced,110020020,pht_arf_c1,15.0,grid,0.03289473684210526,0.03289473684210526,52.8,52.8,299,5,294,0.016722408026755852,1.0,5,0.4117776797529775,0.40615664371996363,54
abrupt_balanced,168388230,pht_arf_c1,15.0,grid,0.032362459546925564,0.032362459546925564,111.2,111.2,304,5,299,0.01644736842105263,1.0,5,0.4332818703131892,0.4100532536693077,60
abrupt_balanced,176092387,pht_arf_c1,15.0,grid,0.030864197530864196,0.030864197530864196,45.6,45.6,319,5,314,0.01567398119122257,1.0,5,0.4074768416409352,0.4301337836082608,60
abrupt_balanced,176623029,pht_arf_c1,15.0,grid,0.03289473684210526,0.03289473684210526,29.0,29.0,299,5,294,0.016722408026755852,1.0,5,0.41850463167181295,0.39314196648915445,62
abrupt_balanced,232150720,pht_arf_c1,15.0,grid,0.03278688524590164,0.03278688524590164,38.2,38.2,300,5,295,0.016666666666666666,1.0,5,0.39799294221438025,0.42062605533186126,50
