Calibration,Detector,Clock,Dataset,w,Seed,lambda,lambda_role,ADD,F1,precision,recall,TP,FP,FN,n_detections
Cal. A,PHT + ARF,1,BWX->PFF,500,15,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,16,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,17,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,18,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,19,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,20,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,21,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,22,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,23,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,24,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,25,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,26,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,27,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,28,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,29,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,30,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,1,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,2,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,3,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,4,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,5,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,6,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,7,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,8,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,9,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,10,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,11,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,12,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,13,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,14,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,15,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,16,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,17,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,18,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,19,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,20,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,21,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,22,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,23,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,24,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,25,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,26,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,27,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,28,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,29,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,30,60.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,1,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,2,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,3,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,4,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,5,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,6,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,7,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,8,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,9,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,10,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,11,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,12,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,13,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,14,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,15,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,16,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,17,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,18,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,19,90.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,20,90.0,grid,,0.0,0.0,0.0,0,0,1,0
