boundary_shift,seed,delta_e,tau_hat,tau_det,n_swaps_post,n_warnings_post
0.5105263157894737,100,0.082,2878.0,735.0,1,1
0.7157894736842105,1,0.06799999999999999,1364.0,3711.0,3,3
0.7157894736842105,2,0.07399999999999998,1423.0,3135.0,1,1
0.7157894736842105,3,0.06,2096.0,2047.0,1,1
0.7157894736842105,4,0.13999999999999999,152.0,159.0,1,1
0.7157894736842105,5,0.008000000000000007,906.0,63.0,1,1
0.7157894736842105,6,0.172,330.0,351.0,1,1
0.7157894736842105,7,0.08,142.0,159.0,1,1
0.7157894736842105,8,0.057999999999999996,1284.0,1279.0,1,1
0.7157894736842105,9,0.05200000000000002,1599.0,1631.0,1,1
0.7157894736842105,10,0.038000000000000006,1045.0,2271.0,1,1
0.7157894736842105,11,0.05399999999999999,1256.0,127.0,1,1
0.7157894736842105,12,0.046,618.0,2495.0,3,3
0.7157894736842105,13,0.07400000000000001,2955.0,,1,1
0.7157894736842105,14,0.014000000000000012,1034.0,1151.0,1,1
0.7157894736842105,15,0.06999999999999999,1493.0,1439.0,1,1
0.7157894736842105,16,0.03,1053.0,2303.0,1,1
0.7157894736842105,17,0.122,215.0,223.0,1,1
0.7157894736842105,18,0.021999999999999992,605.0,2303.0,2,2
0.7157894736842105,19,0.022000000000000006,1826.0,3583.0,2,2
0.7157894736842105,20,0.013999999999999985,363.0,2623.0,3,3
0.7157894736842105,21,0.07600000000000001,2017.0,,2,2
0.7157894736842105,22,0.034,1858.0,1823.0,1,1
0.7157894736842105,23,0.027999999999999997,568.0,1759.0,1,1
0.7157894736842105,24,0.088,3234.0,3295.0,1,1
0.7157894736842105,25,0.064,1361.0,3743.0,2,2
0.7157894736842105,26,0.009999999999999995,1520.0,1279.0,1,1
0.7157894736842105,27,0.11600000000000002,150.0,127.0,1,1
0.7157894736842105,28,0.14,206.0,191.0,1,1
0.7157894736842105,29,0.12200000000000001,399.0,383.0,1,1
0.7157894736842105,30,-0.025999999999999995,785.0,2463.0,1,1
0.7157894736842105,31,0.10600000000000001,123.0,127.0,1,1
0.7157894736842105,32,0.10799999999999998,185.0,191.0,1,1
0.7157894736842105,33,0.05,560.0,63.0,1,1
0.7157894736842105,34,0.057999999999999996,4.0,2655.0,3,3
0.7157894736842105,35,-0.014000000000000012,1157.0,671.0,1,1
0.7157894736842105,36,0.055999999999999994,336.0,1599.0,2,2
0.7157894736842105,37,0.10200000000000001,97.0,127.0,1,1
0.7157894736842105,38,0.11399999999999999,221.0,223.0,1,1
0.7157894736842105,39,0.074,911.0,95.0,1,1
0.7157894736842105,40,0.027999999999999997,1483.0,1407.0,1,1
0.7157894736842105,41,-0.032,828.0,1631.0,1,1
0.7157894736842105,42,0.006000000000000005,1226.0,2559.0,2,2
0.7157894736842105,43,-0.013999999999999999,708.0,2015.0,2,2
0.7157894736842105,44,0.045999999999999985,980.0,63.0,1,1
0.7157894736842105,45,0.074,116.0,127.0,1,1
0.7157894736842105,46,-0.021999999999999992,1302.0,2431.0,1,1
0.7157894736842105,47,0.068,2345.0,3935.0,1,1
0.7157894736842105,48,0.06600000000000002,137.0,127.0,1,1
0.7157894736842105,49,0.10200000000000001,204.0,223.0,1,1
0.7157894736842105,50,0.10200000000000001,2051.0,3647.0,1,1
0.7157894736842105,51,0.017999999999999988,1556.0,543.0,1,1
0.7157894736842105,52,0.046,1852.0,2879.0,2,2
0.7157894736842105,53,0.013999999999999999,1792.0,1535.0,1,1
0.7157894736842105,54,0.134,338.0,351.0,1,1
0.7157894736842105,55,0.0020000000000000018,616.0,1727.0,1,1
0.7157894736842105,56,0.05,2236.0,,1,1
0.7157894736842105,57,0.0020000000000000018,1723.0,1439.0,1,1
0.7157894736842105,58,0.14200000000000002,199.0,95.0,1,1
0.7157894736842105,59,0.013999999999999999,1157.0,1087.0,1,1
0.7157894736842105,60,0.068,1551.0,1631.0,1,1
0.7157894736842105,61,0.096,2031.0,1919.0,1,1
0.7157894736842105,62,-0.016000000000000014,756.0,2015.0,1,1
0.7157894736842105,63,0.025999999999999995,1098.0,159.0,1,1
0.7157894736842105,64,0.055999999999999994,1573.0,1439.0,1,1
0.7157894736842105,65,0.06399999999999999,2162.0,3359.0,1,1
0.7157894736842105,66,0.07400000000000001,1408.0,1471.0,1,1
0.7157894736842105,67,0.1,1738.0,1727.0,1,1
0.7157894736842105,68,0.128,2508.0,223.0,1,1
0.7157894736842105,69,0.084,1588.0,1503.0,1,1
0.7157894736842105,70,-0.03,684.0,63.0,1,1
0.7157894736842105,71,0.046,1598.0,2303.0,1,1
0.7157894736842105,72,0.09599999999999999,1692.0,191.0,1,1
0.7157894736842105,73,0.106,710.0,95.0,1,1
0.7157894736842105,74,0.016,2213.0,,1,1
0.7157894736842105,75,0.09999999999999999,119.0,127.0,1,1
0.7157894736842105,76,0.126,76.0,95.0,1,1
0.7157894736842105,77,0.025999999999999995,1471.0,1599.0,1,1
0.7157894736842105,78,0.15,219.0,191.0,1,1
0.7157894736842105,79,0.064,1381.0,1311.0,1,1
0.7157894736842105,80,0.07999999999999999,548.0,31.0,1,1
0.7157894736842105,81,0.088,1980.0,2047.0,1,1
0.7157894736842105,82,0.057999999999999996,1083.0,703.0,1,1
0.7157894736842105,83,0.021999999999999992,1614.0,2367.0,1,1
0.7157894736842105,84,0.096,2053.0,2047.0,1,1
0.7157894736842105,85,0.11000000000000001,2756.0,,1,1
0.7157894736842105,86,0.055999999999999994,1715.0,1439.0,1,1
0.7157894736842105,87,0.11199999999999999,135.0,159.0,1,1
0.7157894736842105,88,0.05400000000000002,999.0,2047.0,1,1
0.7157894736842105,89,0.072,1986.0,,1,1
0.7157894736842105,90,0.094,254.0,255.0,1,1
0.7157894736842105,91,0.09200000000000001,139.0,159.0,1,1
0.7157894736842105,92,0.11800000000000001,290.0,319.0,1,1
0.7157894736842105,93,0.05600000000000001,2259.0,2239.0,1,1
0.7157894736842105,94,0.011999999999999997,2101.0,3295.0,1,1
