delta_e,W_estimator,lambda,n,W_mean,mu,mu_W_mean,vacant_at_mean_W,bound_at_mean_W,frac_runs_vacant,bound_plugin
0.487707,tau_erase (argmax A_unrefl),8.0,100,72.5,0.477707,34.65,True,1.0,1.0,1.0
0.487707,tau_erase (argmax A_unrefl),15.0,100,72.5,0.477707,34.65,True,1.0,0.91,1.0
0.487707,tau_erase (argmax A_unrefl),25.0,100,72.5,0.477707,34.65,True,1.0,0.54,0.8863340745893402
0.487707,tau_erase (argmax A_unrefl),50.0,100,72.5,0.477707,34.65,False,0.10916875891907951,0.15,0.34195154270726136
0.487707,tau_err(0.10),8.0,100,338.4,0.477707,161.65,True,1.0,1.0,1.0
0.487707,tau_err(0.10),15.0,100,338.4,0.477707,161.65,True,1.0,1.0,1.0
0.487707,tau_err(0.10),25.0,100,338.4,0.477707,161.65,True,1.0,1.0,1.0
0.487707,tau_err(0.10),50.0,100,338.4,0.477707,161.65,True,1.0,1.0,1.0
0.491644,tau_swap^(1/M),8.0,100,31.8,0.481644,15.32,True,1.0,1.0,1.0
0.491644,tau_swap^(1/M),15.0,100,31.8,0.481644,15.32,True,1.0,0.41,0.9855613458705258
0.491644,tau_swap^(1/M),25.0,100,31.8,0.481644,15.32,False,0.08730934572811747,0.04,0.331641521594429
0.491644,tau_swap^(1/M),50.0,100,31.8,0.481644,15.32,False,4.4118623639786236e-32,0.0,0.010000011277971834
0.491644,tau_erase (argmax A_unrefl),8.0,100,61.0,0.481644,29.39,True,1.0,1.0,1.0
0.491644,tau_erase (argmax A_unrefl),15.0,100,61.0,0.481644,29.39,True,1.0,0.91,1.0
0.491644,tau_erase (argmax A_unrefl),25.0,100,61.0,0.481644,29.39,True,1.0,0.49,0.8730839759261328
0.491644,tau_erase (argmax A_unrefl),50.0,100,61.0,0.481644,29.39,False,5.43397303283185e-05,0.07,0.26894645935289296
0.491644,tau_err(0.10),8.0,100,332.6,0.481644,160.21,True,1.0,1.0,1.0
0.491644,tau_err(0.10),15.0,100,332.6,0.481644,160.21,True,1.0,1.0,1.0
0.491644,tau_err(0.10),25.0,100,332.6,0.481644,160.21,True,1.0,1.0,1.0
0.491644,tau_err(0.10),50.0,100,332.6,0.481644,160.21,True,1.0,1.0,1.0
0.494428,tau_swap^(1/M),8.0,100,31.4,0.484428,15.22,True,1.0,1.0,1.0
0.494428,tau_swap^(1/M),15.0,100,31.4,0.484428,15.22,True,1.0,0.47,0.9866037292130517
0.494428,tau_swap^(1/M),25.0,100,31.4,0.484428,15.22,False,0.07077022440547724,0.04,0.32201342846350817
0.494428,tau_swap^(1/M),50.0,100,31.4,0.484428,15.22,False,1.092508410008798e-32,0.0,0.010000013192376415
0.494428,tau_erase (argmax A_unrefl),8.0,100,55.6,0.484428,26.95,True,1.0,1.0,1.0
0.494428,tau_erase (argmax A_unrefl),15.0,100,55.6,0.484428,26.95,True,1.0,0.9,1.0
0.494428,tau_erase (argmax A_unrefl),25.0,100,55.6,0.484428,26.95,True,1.0,0.41,0.8481771390836205
0.494428,tau_erase (argmax A_unrefl),50.0,100,55.6,0.484428,26.95,False,2.8435651055109746e-07,0.05,0.22092029671727503
0.494428,tau_err(0.10),8.0,100,331.3,0.484428,160.47,True,1.0,1.0,1.0
0.494428,tau_err(0.10),15.0,100,331.3,0.484428,160.47,True,1.0,1.0,1.0
0.494428,tau_err(0.10),25.0,100,331.3,0.484428,160.47,True,1.0,1.0,1.0
0.494428,tau_err(0.10),50.0,100,331.3,0.484428,160.47,True,1.0,1.0,1.0
0.496355,tau_swap^(1/M),8.0,100,31.3,0.486355,15.22,True,1.0,1.0,1.0
0.496355,tau_swap^(1/M),15.0,100,31.3,0.486355,15.22,True,1.0,0.47,0.987359862098447
0.496355,tau_swap^(1/M),25.0,100,31.3,0.486355,15.22,False,0.06905760165935246,0.04,0.32492289606520963
0.496355,tau_swap^(1/M),50.0,100,31.3,0.486355,15.22,False,8.177589263826453e-33,0.0,0.010000015671887462
0.496355,tau_erase (argmax A_unrefl),8.0,100,49.1,0.486355,23.89,True,1.0,1.0,1.0
0.496355,tau_erase (argmax A_unrefl),15.0,100,49.1,0.486355,23.89,True,1.0,0.88,1.0
0.496355,tau_erase (argmax A_unrefl),25.0,100,49.1,0.486355,23.89,False,1.0,0.31,0.822636342258127
0.496355,tau_erase (argmax A_unrefl),50.0,100,49.1,0.486355,23.89,False,4.395392350726238e-11,0.01,0.12979782733798303
