Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,17
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,17
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,17
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,17
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,17
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,18
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,18
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,18
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,18
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,18
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,18
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,18
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,18
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,18
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,18
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,18
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,18
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,19
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,19
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,19
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,19
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,19
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,19
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,19
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,19
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,19
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,19
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,19
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,19
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,20
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,20
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,20
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,20
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,20
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,20
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,20
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,20
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,20
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,20
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,20
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,20
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,21
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,21
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,21
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,21
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,21
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,21
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,21
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,21
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,21
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,21
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,21
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,21
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,22
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,22
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,22
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,22
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,22
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,22
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,22
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,22
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,22
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,22
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,22
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,22
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,23
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,23
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,23
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,23
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,23
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,23
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,23
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,23
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,23
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,23
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,23
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,23
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,24
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,24
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,24
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,24
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,24
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,24
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,24
