boundary_shift,delta_e,lambda,M,tau_det_star,n_hat,censored_frac_hat,F_hat,bound_boole,bound_jensen,measured_pmiss,measured_source,measured_n,measured_wilson_lo,measured_wilson_hi,censored_frac_arf,min_tau_hat,min_tau_arf
1.536842,0.3614,25.0,1,71.14,100,0.0,0.33,0.33,0.33,0.33,R6 tau_hat (identity),100,,,0.0,33.0,20.0
1.536842,0.3614,25.0,2,71.14,100,0.0,0.33,0.66,0.5511,,,0,,,0.0,33.0,20.0
1.536842,0.3614,25.0,3,71.14,100,0.0,0.33,0.99,0.699237,,,0,,,0.0,33.0,20.0
1.536842,0.3614,25.0,5,71.14,100,0.0,0.33,1.0,0.864987,,,0,,,0.0,33.0,20.0
1.536842,0.3614,25.0,10,71.14,100,0.0,0.33,1.0,0.981772,0.88,R2_A tau_arf,100,0.8019,0.93,0.0,33.0,20.0
1.536842,0.3614,25.0,20,71.14,100,0.0,0.33,1.0,0.999668,,,0,,,0.0,33.0,20.0
1.536842,0.3614,25.0,50,71.14,100,0.0,0.33,1.0,1.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,50.0,1,142.28,100,0.0,0.55,0.55,0.55,0.55,R6 tau_hat (identity),100,,,0.0,33.0,20.0
1.536842,0.3614,50.0,2,142.28,100,0.0,0.55,1.0,0.7975,,,0,,,0.0,33.0,20.0
1.536842,0.3614,50.0,3,142.28,100,0.0,0.55,1.0,0.908875,,,0,,,0.0,33.0,20.0
