seed,delta_e,tau_arf
3399977417,0.2,22
2903099886,0.2,84
151712926,0.2,10
1207582415,0.2,261
2486821540,0.2,198
1259821421,0.2,213
597594931,0.2,168
2865206418,0.2,589
3003750881,0.2,138
3312495928,0.2,306
3078168926,0.2,161
1005097259,0.2,157
1646080115,0.2,175
2175304393,0.2,135
3907648593,0.2,80
1971688097,0.2,86
268300483,0.2,170
3139098279,0.2,132
3174456534,0.2,134
997026310,0.2,109
4280428995,0.2,108
345698675,0.2,300
2296661869,0.2,285
1808063307,0.2,92
3884888703,0.2,405
2494461129,0.2,137
3862701690,0.2,289
1989052338,0.2,169
2910179760,0.2,115
1983180500,0.2,3
2796940620,0.2,173
2835193311,0.2,161
1671370085,0.2,193
3953588250,0.2,137
358542842,0.2,85
3497188667,0.2,10
253549709,0.2,5
1953331372,0.2,107
890775398,0.2,169
642810498,0.2,256
1233062494,0.2,315
908446902,0.2,240
3109591194,0.2,177
2446198906,0.2,174
3358664237,0.2,121
896344283,0.2,195
1869944201,0.2,229
3190319407,0.2,97
987968938,0.2,13
48960437,0.2,207
2405484524,0.2,258
3763400334,0.2,76
4209925572,0.2,93
4172993659,0.2,265
2147595062,0.2,2
3425188374,0.2,199
3309235867,0.2,207
3869940862,0.2,436
3445858407,0.2,360
683688611,0.2,148
3671515462,0.2,96
3027130951,0.2,177
3369736057,0.2,180
1655287705,0.2,78
3004971955,0.2,165
1256815592,0.2,108
267482411,0.2,89
2210323869,0.2,286
3218958405,0.2,135
3163371865,0.2,72
1394697297,0.2,214
4178031102,0.2,279
643453088,0.2,121
3249835323,0.2,92
349764347,0.2,221
317791015,0.2,110
4067508317,0.2,105
2385507088,0.2,243
1526028037,0.2,131
297824171,0.2,75
1353143832,0.2,161
1739382006,0.2,165
580680804,0.2,174
2823014988,0.2,88
3517474495,0.2,178
1323262800,0.2,173
975802718,0.2,126
2199045525,0.2,392
1193102617,0.2,604
884894373,0.2,284
3411013638,0.2,325
805745625,0.2,213
3780170430,0.2,137
3127142703,0.2,306
2145807442,0.2,572
7356014,0.2,192
1854214563,0.2,222
3246756741,0.2,219
4269520782,0.2,136
3093880402,0.2,181
721312908,0.2,347
2185234596,0.2,83
1811372632,0.2,122
158871473,0.2,129
3933942357,0.2,92
2247311752,0.2,315
2639539135,0.2,246
588020478,0.2,251
