seed,delta_e,tau_arf
233227757,0.14,850
3276785861,0.14,671
3644269654,0.14,326
1206282609,0.14,340
3543069911,0.14,994
3479688010,0.14,818
877132087,0.14,301
1244265337,0.14,288
2740186692,0.14,953
3884972972,0.14,219
829139639,0.14,292
2545567356,0.14,157
2718398101,0.14,732
176092387,0.14,972
3528048386,0.14,294
569531098,0.14,1019
1337295874,0.14,131
612016888,0.14,233
232150720,0.14,629
2324106676,0.14,1238
1658700540,0.14,452
609942288,0.14,424
3405943863,0.14,786
2257503667,0.14,480
4018327298,0.14,631
2224437599,0.14,556
168388230,0.14,408
911875363,0.14,85
3699796293,0.14,1076
3195154224,0.14,435
3621210587,0.14,19
1945778437,0.14,721
2384190687,0.14,346
3249086786,0.14,482
439485575,0.14,367
2217192537,0.14,218
3412522237,0.14,256
555567425,0.14,407
3399977417,0.14,440
2903099886,0.14,237
151712926,0.14,302
1207582415,0.14,521
2486821540,0.14,277
1259821421,0.14,714
597594931,0.14,698
2865206418,0.14,213
3003750881,0.14,363
3312495928,0.14,281
3078168926,0.14,436
1005097259,0.14,514
1646080115,0.14,812
2175304393,0.14,207
3907648593,0.14,291
1971688097,0.14,768
268300483,0.14,247
3139098279,0.14,403
3174456534,0.14,698
997026310,0.14,229
4280428995,0.14,314
345698675,0.14,196
2296661869,0.14,12
1808063307,0.14,148
3884888703,0.14,242
2494461129,0.14,177
3862701690,0.14,651
1989052338,0.14,216
2910179760,0.14,640
1983180500,0.14,332
2796940620,0.14,215
2835193311,0.14,540
1671370085,0.14,791
3953588250,0.14,720
358542842,0.14,99
3497188667,0.14,158
253549709,0.14,302
1953331372,0.14,776
890775398,0.14,519
642810498,0.14,854
1233062494,0.14,149
908446902,0.14,437
3109591194,0.14,379
2446198906,0.14,8
3358664237,0.14,144
896344283,0.14,276
1869944201,0.14,373
3190319407,0.14,198
987968938,0.14,111
48960437,0.14,199
2405484524,0.14,216
3763400334,0.14,330
4209925572,0.14,141
4172993659,0.14,280
2147595062,0.14,366
3425188374,0.14,280
3309235867,0.14,210
3869940862,0.14,252
3445858407,0.14,189
683688611,0.14,609
3671515462,0.14,241
3027130951,0.14,72
3369736057,0.14,415
1655287705,0.14,319
3004971955,0.14,348
1256815592,0.14,110
267482411,0.14,382
2210323869,0.14,297
3218958405,0.14,398
3163371865,0.14,255
1394697297,0.14,977
4178031102,0.14,243
643453088,0.14,56
3249835323,0.14,179
349764347,0.14,310
317791015,0.14,133
4067508317,0.14,153
2385507088,0.14,391
1526028037,0.14,156
297824171,0.14,789
1353143832,0.14,290
1739382006,0.14,171
580680804,0.14,314
2823014988,0.14,500
3517474495,0.14,26
1323262800,0.14,426
975802718,0.14,190
2199045525,0.14,1434
1193102617,0.14,206
884894373,0.14,323
3411013638,0.14,332
805745625,0.14,280
3780170430,0.14,308
3127142703,0.14,9
2145807442,0.14,715
